original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label,source
Việc lạm dụng rượu và tiêu thụ quá nhiều caffein là những nguyên nhân phổ biến dẫn đến đau đầu Migraine.,Việc,Nguyên nhân,đau đầu,Bệnh,[s] việc [/s] lạm dụng rượu và tiêu thụ quá nhiều caffein là những nguyên nhân phổ biến dẫn đến [o] đau đầu [/o] migraine.,Gây_ra,Silver-Rule
Việc lạm dụng rượu và tiêu thụ quá nhiều caffein là những nguyên nhân phổ biến dẫn đến đau đầu Migraine.,lạm dụng rượu và,Nguyên nhân,đau đầu,Bệnh,việc [s] lạm dụng rượu và [/s] tiêu thụ quá nhiều caffein là những nguyên nhân phổ biến dẫn đến [o] đau đầu [/o] migraine.,Gây_ra,Silver-Rule
Việc lạm dụng rượu và tiêu thụ quá nhiều caffein là những nguyên nhân phổ biến dẫn đến đau đầu Migraine.,tiêu thụ quá nhiều caffein,Nguyên nhân,đau đầu,Bệnh,việc lạm dụng rượu và [s] tiêu thụ quá nhiều caffein [/s] là những nguyên nhân phổ biến dẫn đến [o] đau đầu [/o] migraine.,Gây_ra,Silver-Rule
Bệnh nhân có thể biểu hiện tính khí thất thường cùng với những thay đổi đáng kể trong thói quen sinh hoạt hàng ngày.,Bệnh nhân,Bệnh,tính khí thất thường,Triệu chứng,[s] bệnh nhân [/s] có thể biểu hiện [o] tính khí thất thường [/o] cùng với những thay đổi đáng kể trong thói quen sinh hoạt hàng ngày.,Có_triệu_chứng,Silver-Rule
Bệnh nhân có thể biểu hiện tính khí thất thường cùng với những thay đổi đáng kể trong thói quen sinh hoạt hàng ngày.,Bệnh nhân,Bệnh,đổi,Triệu chứng,[s] bệnh nhân [/s] có thể biểu hiện tính khí thất thường cùng với những thay [o] đổi [/o] đáng kể trong thói quen sinh hoạt hàng ngày.,Có_triệu_chứng,Silver-Rule
Bệnh nhân có thể biểu hiện tính khí thất thường cùng với những thay đổi đáng kể trong thói quen sinh hoạt hàng ngày.,Bệnh nhân,Bệnh,sinh,Triệu chứng,[s] bệnh nhân [/s] có thể biểu hiện tính khí thất thường cùng với những thay đổi đáng kể trong thói quen [o] sinh [/o] hoạt hàng ngày.,Có_triệu_chứng,Silver-Rule
Tránh xa khói thuốc lá là biện pháp phòng ngừa cần thiết để hạn chế các cơn đau đầu bùng phát.,Tránh xa khói,Điều trị,thuốc,Nguyên nhân,[s] tránh xa khói [/s] [o] thuốc [/o] lá là biện pháp phòng ngừa cần thiết để hạn chế các cơn đau đầu bùng phát.,No_relation,Silver-Rule
Tàn tật và bất động là những hậu quả nghiêm trọng về lâu dài nếu bệnh không được kiểm soát tốt.,àn tật,Nguyên nhân,bất động,Nguyên nhân,t[s] àn tật [/s] và [o] bất động [/o] là những hậu quả nghiêm trọng về lâu dài nếu bệnh không được kiểm soát tốt.,No_relation,Silver-Rule
Tàn tật và bất động là những hậu quả nghiêm trọng về lâu dài nếu bệnh không được kiểm soát tốt.,bất động,Nguyên nhân,àn tật,Nguyên nhân,t[o] àn tật [/o] và [s] bất động [/s] là những hậu quả nghiêm trọng về lâu dài nếu bệnh không được kiểm soát tốt.,No_relation,Silver-Rule
Migraine tiền triệu có thể gây ra những ảo giác thị giác như nhìn thấy các điểm sáng nhấp nháy.,ine tiền triệu,Nguyên nhân,ảo giác thị giác,Triệu chứng,migra[s] ine tiền triệu [/s] có thể gây ra những [o] ảo giác thị giác [/o] như nhìn thấy các điểm sáng nhấp nháy.,Gây_ra,Silver-Rule
