original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label
Rối loạn trầm cảm được điều trị hiệu quả bằng liệu pháp nhận thức hành vi (CBT).,Rối loạn trầm cảm,Bệnh,liệu pháp nhận thức hành vi (CBT),Điều trị,[s] rối loạn trầm cảm [/s] được điều trị hiệu quả bằng [o] liệu pháp nhận thức hành vi (cbt) [/o].,Điều_trị_bằng
Rối loạn trầm cảm được điều trị hiệu quả bằng liệu pháp nhận thức hành vi (CBT).,liệu pháp nhận thức hành vi (CBT),Điều trị,Rối loạn trầm cảm,Bệnh,[o] rối loạn trầm cảm [/o] được điều trị hiệu quả bằng [s] liệu pháp nhận thức hành vi (cbt) [/s].,No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",Thiếu hụt vitamin B12,Nguyên nhân,bệnh Hashimoto,Bệnh,"[s] thiếu hụt vitamin b12 [/s], [o] bệnh hashimoto [/o] và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",Thiếu hụt vitamin B12,Nguyên nhân,đái tháo đường type 1,Bệnh,"[s] thiếu hụt vitamin b12 [/s], bệnh hashimoto và [o] đái tháo đường type 1 [/o] là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",Thiếu hụt vitamin B12,Nguyên nhân,viêm dạ dày tự miễn,Bệnh,"[s] thiếu hụt vitamin b12 [/s], bệnh hashimoto và đái tháo đường type 1 là nguyên nhân gây [o] viêm dạ dày tự miễn [/o].",Gây_ra
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",bệnh Hashimoto,Bệnh,Thiếu hụt vitamin B12,Nguyên nhân,"[o] thiếu hụt vitamin b12 [/o], [s] bệnh hashimoto [/s] và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",bệnh Hashimoto,Bệnh,đái tháo đường type 1,Bệnh,"thiếu hụt vitamin b12, [s] bệnh hashimoto [/s] và [o] đái tháo đường type 1 [/o] là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",bệnh Hashimoto,Bệnh,viêm dạ dày tự miễn,Bệnh,"thiếu hụt vitamin b12, [s] bệnh hashimoto [/s] và đái tháo đường type 1 là nguyên nhân gây [o] viêm dạ dày tự miễn [/o].",Gây_ra
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",đái tháo đường type 1,Bệnh,Thiếu hụt vitamin B12,Nguyên nhân,"[o] thiếu hụt vitamin b12 [/o], bệnh hashimoto và [s] đái tháo đường type 1 [/s] là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",đái tháo đường type 1,Bệnh,bệnh Hashimoto,Bệnh,"thiếu hụt vitamin b12, [o] bệnh hashimoto [/o] và [s] đái tháo đường type 1 [/s] là nguyên nhân gây viêm dạ dày tự miễn.",No_relation
