Vectorizer,Model,F1_Macro,Precision,Recall,Accuracy
bow,LogisticRegression,0.4772127467513734,0.42405658561999415,0.8266556619346319,0.55
bow,SVM,0.47257928947019573,0.4107097701438784,0.7781820182678552,0.6
bow,RandomForest,0.5425188621688837,0.4584280646723782,0.7994233520413777,0.725
bow,MLPDeepLearning,0.5133094760529098,0.45005998103619105,0.7269704830219853,0.6625
tfidf,LogisticRegression,0.43156917871924455,0.38897645709400014,0.7789303400462199,0.5053571428571428
tfidf,SVM,0.40058670229794935,0.39760225885225886,0.7236872140734801,0.4107142857142857
tfidf,RandomForest,0.5291078505181048,0.47707218087652875,0.7126041912308007,0.7767857142857143
tfidf,MLPDeepLearning,0.4498009440162514,0.41447252606662593,0.5774933888238609,0.6267857142857143
w2v,LogisticRegression,0.396543097840229,0.3739837796137321,0.6419684559598723,0.44107142857142856
w2v,SVM,0.2955269297035389,0.35103621730382295,0.6460685332788337,0.24464285714285713
w2v,RandomForest,0.3986231743641927,0.41783526208304966,0.42819970682631625,0.7428571428571429
w2v,MLPDeepLearning,0.40877722819648,0.37073770265036243,0.5669073511133597,0.5678571428571428
bert,LogisticRegression,0.5281488373224555,0.47486381385311444,0.6915346170281793,0.6714285714285714
bert,SVM,0.5130651533075776,0.44411756863543594,0.7116535824690331,0.6910714285714286
bert,RandomForest,0.4090880657721695,0.5604273504273504,0.3532500308465974,0.8303571428571429
bert,MLPDeepLearning,0.5989953878836437,0.5192222222222223,0.7596714206156265,0.7803571428571429
