Vectorizer,Model,F1_Macro,Precision,Recall,Accuracy
bow,LogisticRegression,0.5006377042839725,0.42912372341570587,0.7492592576712749,0.6642857142857143
bow,SVM,0.4829699686347916,0.4178567998792718,0.8250568315804369,0.5946428571428571
bow,RandomForest,0.5144132187141275,0.5124708158741142,0.6445282614381327,0.7982142857142858
bow,MLPDeepLearning,0.5045511430756416,0.44177900633937783,0.6382242173658483,0.7339285714285714
tfidf,LogisticRegression,0.4235572176884273,0.3880919886029557,0.771324898277688,0.48214285714285715
tfidf,SVM,0.41455422975232425,0.3779988309911066,0.7449408960138574,0.475
tfidf,RandomForest,0.5061482980343438,0.46406052568121536,0.6526167394836924,0.7732142857142857
tfidf,MLPDeepLearning,0.4569020580775203,0.4246952846161438,0.5568645565212089,0.6696428571428571
w2v,LogisticRegression,0.3727186958295023,0.3829509271291972,0.6361486105692113,0.34464285714285714
w2v,SVM,0.3514190496639437,0.3466416975274006,0.6834761137765429,0.3392857142857143
w2v,RandomForest,0.37694675670739625,0.4186440677966101,0.3696832495115757,0.7464285714285714
w2v,MLPDeepLearning,0.4043208525626082,0.37526638610598206,0.5365151396052683,0.6017857142857143
bert,LogisticRegression,0.4709133614484369,0.4391089540368881,0.6203455104742658,0.6160714285714286
bert,SVM,0.5387505189057871,0.457413099720792,0.7869324571470495,0.6928571428571428
bert,RandomForest,0.4060458251037874,0.5536679790026247,0.3587927475481124,0.8267857142857142
bert,MLPDeepLearning,0.6309299547373759,0.5535835326953749,0.7857354567225812,0.8125
